dim_assai,dim_eau,dim_logem,dim_nutri,dim_sante,dim_protect,dim_educ,annee
.48975673,.56597912,.60696679,.42996165,.94422066,.70724881,.31211936,2021
.5137825,.5935843,.72591895,.49615884,.95183784,.70885509,.30028957,2018
