"fichier","variable","type","label","n_obs","n_manquants","n_modalites","modalites"
"ehcvm_conso_sen2018.dta","country","character","Pays",475698,0,1,NA
"ehcvm_conso_sen2018.dta","year","numeric","Annee enquete",475698,0,1,NA
"ehcvm_conso_sen2018.dta","hhid","numeric","Identifiant unique menage",475698,0,7156,NA
"ehcvm_conso_sen2018.dta","grappe","numeric","Numero grappe",475698,0,598,NA
"ehcvm_conso_sen2018.dta","menage","numeric","Numero menage",475698,0,12,NA
"ehcvm_conso_sen2018.dta","region","numeric","Region residence",475698,0,14,NA
"ehcvm_conso_sen2018.dta","milieu","haven_labelled","Milieu residence",475698,0,2,"1=Urbain; 2=Rural"
"ehcvm_conso_sen2018.dta","zae","numeric","(first) zae",475698,186544,6,NA
"ehcvm_conso_sen2018.dta","domaine","numeric","(first) domaine",475698,422341,12,NA
"ehcvm_conso_sen2018.dta","hhweight","numeric","Ponderation",475698,0,596,NA
"ehcvm_conso_sen2018.dta","codpr","haven_labelled","Code produit",475698,0,315,"[340 modalites]"
"ehcvm_conso_sen2018.dta","modep","haven_labelled","Mode d'acquisition",475698,0,5,"1=Achat; 2=Autoconso; 3=Don; 4=Valeur usage BD; 5=Loyer imputee; 6=Autoconso alter."
"ehcvm_conso_sen2018.dta","vague","numeric","Vague",475698,0,2,NA
"ehcvm_conso_sen2018.dta","depan","numeric","Depense annuelle",475698,0,24542,NA
"ehcvm_individu_sen2018.dta","country","character","Pays",66120,0,1,NA
"ehcvm_individu_sen2018.dta","year","numeric","Annee enquete",66120,0,1,NA
"ehcvm_individu_sen2018.dta","vague","numeric","Vague",66120,0,2,NA
"ehcvm_individu_sen2018.dta","hhid","numeric","Idenfiant menage",66120,0,7156,NA
"ehcvm_individu_sen2018.dta","grappe","numeric","Numero de grappe",66120,0,598,NA
"ehcvm_individu_sen2018.dta","menage","numeric","Numero du menage",66120,0,12,NA
"ehcvm_individu_sen2018.dta","numind","numeric","Numero individu",66120,0,58,NA
"ehcvm_individu_sen2018.dta","zae","numeric","Zone agroecologique",66120,0,6,NA
"ehcvm_individu_sen2018.dta","domaine","haven_labelled","Domaine étude",66120,0,12,"1=Capitale V1; 2=Nord V1; 3=centre ouest V1; 4=Centre est V1; 5=sud V1; 6=Capitale V2; 7=Nord V2; 8=centre ouest V2; 9=Centre est V2; 10=Sud V2"
"ehcvm_individu_sen2018.dta","region","haven_labelled","Region residence",66120,0,14,"1=dakar; 2=ziguinchor; 3=diourbel; 4=SAINT-LOUIS; 5=tambacounda; 6=kaolack; 7=thies; 8=louga; 9=fatick; 10=kolda; 11=matam; 12=kaffrine; 13=kedougou; 14=sedhiou"
"ehcvm_individu_sen2018.dta","departement","haven_labelled","Departement residence",66120,0,45,"[45 modalites]"
"ehcvm_individu_sen2018.dta","milieu","haven_labelled","Milieu residence",66120,0,2,"1=Urbain; 2=Rural"
"ehcvm_individu_sen2018.dta","hhweight","numeric","Ponderation menage",66120,0,596,NA
